0,1,12
0,1,12
-2,1,12
0,1,12
0,1,12
0,1,12
0,1,12
0,1,12
2,1,12
1,2,12
-2,3,12
0,0,12
1,-2,12
0,7,12
2,-4,12
-2,4,12
-2,4,12
0,2,12
-2,7,12
1,-2,12
0,1,12
0,1,12
0,6,12
1,7,12
1,-1,12
-2,2,12
1,-1,12
0,-1,12
-5,2,12
-3,-1,12
-3,2,12
0,1,12
0,-2,12
0,9,12
1,-2,12
0,2,12
-2,2,12
2,2,12
2,3,12
2,-2,12
0,2,12
0,-1,12
-3,2,12
-3,3,12
0,-2,12
-2,2,12
1,-1,12
0,0,12
0,3,12
1,1,12
0,1,12
1,0,12
0,-2,12
2,3,12
2,-1,12
0,2,12
0,1,12
0,-2,12
3,2,12
2,-2,12
-1,2,12
0,1,12
2,1,12
2,2,12
1,-2,12
0,1,12
0,0,12
2,2,12
1,2,12
1,-1,12
0,2,12
0,-1,12
0,-1,12
-2,3,12
1,-2,12
-1,2,12
0,0,12
1,-2,12
-3,2,12
-2,-2,12
-1,1,12
0,2,12
1,-2,12
-3,1,12
1,-2,12
0,1,12
-1,1,12
1,1,12
0,2,12
0,-2,12
0,1,12
1,0,12
1,2,12
1,1,12
1,-2,12
0,2,12
0,-1,12
0,0,12
2,2,12
2,-2,12
-1,2,12
0,0,12
1,-2,12
1,2,12
1,-2,12
0,2,12
0,0,12
0,1,12
0,-1,12
1,-2,12
-2,1,12
1,0,12
2,2,12
1,2,12
1,-2,12
0,1,12
0,0,12
-3,2,12
-3,1,12
0,-2,12
0,2,12
0,-2,12
0,1,12
0,3,12
2,-1,12
-1,2,12
0,1,12
0,-2,12
5,3,12
2,-2,12
-1,2,12
