0,0,13
-1,4,13
3,3,13
-1,3,13
1,0,13
1,-1,13
-3,4,13
4,1,13
-3,3,13
0,0,13
2,-1,13
-5,8,13
1,0,13
-3,3,13
1,-1,13
0,6,13
1,0,13
-1,1,13
0,1,13
-1,4,13
0,3,13
0,1,13
-2,2,13
1,-1,13
-3,3,13
-1,1,13
0,0,13
-1,1,13
1,-1,13
-4,4,13
-1,2,13
-2,2,13
0,0,13
1,-1,13
-5,3,13
-3,-1,13
-3,2,13
0,0,13
1,-1,13
-3,5,13
1,-1,13
-2,3,13
1,-1,13
-4,0,13
0,-1,13
-1,1,13
0,0,13
-1,3,13
2,1,13
1,0,13
-2,2,13
1,1,13
1,1,13
1,0,13
-1,1,13
1,0,13
-2,2,13
0,0,13
1,-1,13
-1,2,13
1,-1,13
-3,3,13
-1,-1,13
-1,1,13
0,0,13
1,-1,13
-1,4,13
2,2,13
-1,2,13
0,1,13
1,-1,13
0,2,13
2,-1,13
-1,2,13
0,0,13
-4,0,13
-1,0,13
-1,1,13
0,0,13
-3,1,13
-2,-2,13
0,-1,13
-2,2,13
1,-1,13
-3,3,13
-1,-1,13
1,-2,13
-2,3,13
1,-2,13
0,3,13
3,0,13
1,0,13
0,1,13
1,-2,13
-3,3,13
0,-2,13
-2,2,13
0,0,13
-1,0,13
-3,0,13
-1,1,13
0,0,13
0,0,13
-1,3,13
0,1,13
1,0,13
-1,2,13
1,-1,13
-2,5,13
0,1,13
1,-1,13
-1,2,13
0,0,13
0,-1,13
1,-1,13
-1,1,13
